precursor_name,cnt,formula,smiles,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,avg anion electron affinity,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference
Zn(NO3)2,478,Zn(NO3)2,[Zn+2].[O-][N+](=O)[O-].[O-][N+](=O)[O-],7.0,30.0,23.0,10.222222222222221,4.395061728395061,8.0,69.0,87.0,18.0,83.88888888888889,4.148148148148149,87.0,14.0067,65.38,51.37329999999999,21.04331111111111,9.852597530864195,15.9994,54.8,692.68,637.88,127.50888888888888,125.59358024691356,54.8,12.0,16.0,4.0,15.333333333333334,0.8888888888888887,16.0,2.0,4.0,2.0,2.2222222222222223,0.3950617283950618,2.0,66.0,122.0,56.0,73.33333333333333,10.814814814814811,66.0,1.65,3.44,1.79,3.1522222222222225,0.3837037037037036,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0,6.444444444444445,1.234567901234568,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,9.105,14.76875,5.66375,10.903055555555556,2.3974074074074077,9.105,0.0,6.437,6.437,1.4304444444444444,2.225135802469136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.88888888888889,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-282000.0,0.3999999999999999,1.79,1.3900000000000001,0.8633333333333333,0.9828784258493012
Cu(NO3)2,476,Cu(NO3)2,[Cu+2].[O-][N+](=O)[O-].[O-][N+](=O)[O-],7.0,29.0,22.0,10.11111111111111,4.19753086419753,8.0,64.0,87.0,23.0,83.33333333333333,4.88888888888889,87.0,14.0067,63.546,49.5393,20.839533333333332,9.490325925925925,15.9994,54.8,1357.77,1302.97,201.40777777777777,256.9693827160493,54.8,11.0,16.0,5.0,15.222222222222221,1.0370370370370372,16.0,2.0,4.0,2.0,2.2222222222222223,0.3950617283950618,2.0,66.0,132.0,66.0,74.44444444444444,12.790123456790122,66.0,1.9,3.44,1.54,3.18,0.34666666666666657,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,6.333333333333333,1.037037037037037,6.0,0.0,1.0,1.0,0.1111111111111111,0.19753086419753085,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.111111111111111,0.39506172839506176,2.0,9.105,14.76875,5.66375,10.581944444444446,1.9692592592592595,9.105,0.0,6.437,6.437,1.4304444444444444,2.225135802469136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,76.11111111111111,85.48148148148147,12.0,p,N,-0.266297,p,N,-0.266297,0.0,-282000.0,0.3999999999999999,1.54,1.1400000000000001,0.7799999999999999,0.8061017305526643
CuCl2,311,CuCl2,[Cu+2].[Cl-].[Cl-],17.0,29.0,12.0,21.0,5.333333333333333,17.0,64.0,94.0,30.0,84.0,13.333333333333334,94.0,35.453,63.546,28.092999999999996,44.81733333333333,12.485777777777775,35.453,171.6,1357.77,1186.17,566.99,527.1866666666666,171.6,11.0,17.0,6.0,15.0,2.6666666666666665,17.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,102.0,132.0,30.0,112.0,13.333333333333334,102.0,1.9,3.16,1.2600000000000002,2.74,0.56,3.16,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,4.0,8.333333333333334,1.777777777777778,7.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,24.4975,13.427499999999998,20.021666666666665,5.967777777777777,24.4975,0.0,2.493,2.493,1.662,1.1079999999999999,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,d,Cu,-0.202272,d,Cu,-0.202272,0.0,-349000.0,1.2600000000000002,1.2600000000000002,0.0,1.2600000000000002,0.0
Cd(NO3)2,221,Cd(NO3)2,[Cd+2].[O-][N+](=O)[O-].[O-][N+](=O)[O-],7.0,48.0,41.0,12.222222222222221,7.950617283950616,8.0,70.0,87.0,17.0,84.0,4.0,87.0,14.0067,112.411,98.4043,26.268977777777778,19.142671604938272,15.9994,54.8,594.22,539.4200000000001,116.56888888888888,106.14469135802467,54.8,12.0,16.0,4.0,15.333333333333334,0.8888888888888887,16.0,2.0,5.0,3.0,2.3333333333333335,0.5925925925925927,2.0,66.0,144.0,78.0,75.77777777777777,15.160493827160488,66.0,1.69,3.44,1.75,3.1566666666666667,0.3777777777777777,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0,6.444444444444445,1.234567901234568,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.4444444444444444,2.0,9.105,19.495,10.39,11.518055555555556,3.2174074074074075,9.105,0.0,6.437,6.437,1.4304444444444444,2.225135802469136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.88888888888889,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-282000.0,0.3999999999999999,1.75,1.35,0.85,0.9545941546018393
MnCl2,193,MnCl2,[Mn+2].[Cl-].[Cl-],17.0,25.0,8.0,19.666666666666668,3.555555555555556,17.0,52.0,94.0,42.0,80.0,18.666666666666668,94.0,35.453,54.938045,19.485045,41.948015000000005,8.660020000000001,35.453,171.6,1519.0,1347.4,620.7333333333333,598.8444444444444,171.6,7.0,17.0,10.0,13.666666666666666,4.444444444444445,17.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,102.0,139.0,37.0,114.33333333333333,16.444444444444443,102.0,1.55,3.16,1.61,2.6233333333333335,0.7155555555555555,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.3333333333333335,1.777777777777778,1.0,10.4875862069,24.4975,14.009913793099999,19.827528735633333,6.226628352488888,24.4975,0.0,2.493,2.493,1.662,1.1079999999999999,2.493,0.0,0.000310120689655,0.000310120689655,0.00010337356321833333,0.00013783141762444443,0.0,64.0,217.0,153.0,115.0,68.0,64.0,d,Mn,-0.26654,d,Mn,-0.26654,0.0,-349000.0,1.61,1.61,0.0,1.61,0.0
HNO3,187,HNO3,[N+](=O)(O)[O-],1.0,8.0,7.0,6.4,2.1599999999999997,8.0,82.0,92.0,10.0,87.0,2.0,87.0,1.00794,15.9994,14.99146,12.602568,4.6378512,15.9994,14.01,63.05,49.04,48.291999999999994,13.712800000000001,54.8,1.0,16.0,15.0,12.8,4.72,16.0,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,31.0,71.0,40.0,60.0,11.6,66.0,2.2,3.44,1.2399999999999998,3.112,0.3935999999999999,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,6.615,14.76875,8.15375,9.73975,2.0116000000000005,9.105,0.0,7.853,7.853,2.8579999999999997,3.4295999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-282000.0,0.3999999999999999,1.2399999999999998,0.8399999999999999,0.8199999999999998,0.5939696961966998
CoCl2,177,CoCl2,[Co+2].[Cl-].[Cl-],17.0,27.0,10.0,20.333333333333332,4.444444444444444,17.0,58.0,94.0,36.0,82.0,16.0,94.0,35.453,58.933195,23.480194999999995,43.27973166666667,10.43564222222222,35.453,171.6,1768.0,1596.4,703.7333333333332,709.5111111111111,171.6,9.0,17.0,8.0,14.333333333333334,3.5555555555555554,17.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,102.0,126.0,24.0,110.0,10.666666666666666,102.0,1.88,3.16,1.2800000000000002,2.733333333333333,0.5688888888888891,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,7.0,7.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,7.666666666666667,0.888888888888889,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.6666666666666667,0.888888888888889,1.0,10.245,24.4975,14.2525,19.746666666666666,6.334444444444443,24.4975,0.0,2.493,2.493,1.662,1.1079999999999999,2.493,0.0,1.5484712,1.5484712,0.5161570666666667,0.6882094222222221,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0,p,Cl,-0.32038,p,Cl,-0.32038,0.0,-349000.0,1.2800000000000002,1.2800000000000002,0.0,1.2800000000000002,0.0
Cu(Ac)2,160,Cu(Ac)2,CC(=O)[O-].CC(=O)[O-].[Cu+2],1.0,29.0,28.0,6.066666666666666,4.088888888888889,1.0,64.0,92.0,28.0,84.8,6.9333333333333345,92.0,1.00794,63.546,62.53806,12.108936,8.933189333333333,1.00794,14.01,3823.0,3808.99,1130.2020000000002,1466.5013333333336,14.01,1.0,16.0,15.0,9.133333333333333,6.506666666666666,1.0,1.0,4.0,3.0,1.7333333333333334,0.5866666666666667,1.0,31.0,132.0,101.0,59.06666666666667,22.453333333333333,31.0,1.9,3.44,1.54,2.604,0.4458666666666667,2.2,1.0,2.0,1.0,1.5333333333333334,0.49777777777777776,1.0,0.0,4.0,4.0,1.6,1.4933333333333332,0.0,0.0,10.0,10.0,0.6666666666666666,1.2444444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,3.8,2.2399999999999998,1.0,0.0,1.0,1.0,0.4666666666666667,0.49777777777777776,1.0,0.0,4.0,4.0,1.6,1.4933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.066666666666667,1.0311111111111113,1.0,5.64,11.07,5.430000000000001,7.316,1.4546666666666668,6.615,0.0,7.853,7.853,4.340133333333333,2.893422222222222,7.853,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,147.53333333333333,72.28444444444445,194.0,d,Cu,-0.202272,d,Cu,-0.202272,0.0,-282000.0,1.2399999999999998,1.54,0.30000000000000027,1.2828571428571427,0.21213203435596445
Cd(Ac)2,160,Cd(Ac)2,CC(=O)[O-].[Cd+2],1.0,48.0,47.0,7.333333333333333,5.777777777777777,1.0,70.0,92.0,22.0,85.2,6.3999999999999995,92.0,1.00794,112.411,111.40306,15.366602666666667,13.27674488888889,1.00794,14.01,3823.0,3808.99,1079.2986666666666,1463.307377777778,14.01,1.0,16.0,15.0,9.2,6.5600000000000005,1.0,1.0,5.0,4.0,1.8,0.6400000000000001,1.0,31.0,144.0,113.0,59.86666666666667,23.09333333333333,31.0,1.69,3.44,1.75,2.5900000000000003,0.4533333333333334,2.2,1.0,2.0,1.0,1.6,0.4799999999999999,1.0,0.0,4.0,4.0,1.6,1.4933333333333332,0.0,0.0,10.0,10.0,0.6666666666666666,1.2444444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.8666666666666667,2.2933333333333326,1.0,0.0,1.0,1.0,0.4,0.4799999999999999,1.0,0.0,4.0,4.0,1.6,1.4933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0666666666666667,1.0,5.64,19.495,13.855,7.877666666666667,2.203555555555556,6.615,0.0,7.853,7.853,4.340133333333333,2.893422222222222,7.853,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,145.46666666666667,71.18222222222222,194.0,s,H,-0.233471,s,H,-0.233471,0.0,-282000.0,1.2399999999999998,1.75,0.5100000000000002,1.3128571428571425,0.3606244584051394
Zn(OAc)2,152,Zn(OAc)2,[Zn+2].[O-]C(=O)C.[O-]C(=O)C,1.0,30.0,29.0,6.352941176470588,3.944636678200692,1.0,69.0,92.0,23.0,85.3529411764706,5.854671280276814,87.0,1.00794,65.38,64.37205999999999,12.67452,8.547618823529412,1.00794,14.01,3823.0,3808.99,964.5611764705883,1345.1476816608997,14.01,1.0,16.0,15.0,10.0,6.352941176470588,1.0,1.0,4.0,3.0,1.7647058823529411,0.5397923875432525,1.0,31.0,122.0,91.0,59.294117647058826,19.972318339100344,31.0,1.65,3.44,1.79,2.6876470588235293,0.5310726643598616,2.2,1.0,2.0,1.0,1.6470588235294117,0.4567474048442907,1.0,0.0,4.0,4.0,1.8823529411764706,1.5501730103806228,0.0,0.0,10.0,10.0,0.5882352941176471,1.1072664359861593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,4.117647058823529,2.2560553633217992,1.0,0.0,1.0,1.0,0.35294117647058826,0.45674740484429066,0.0,0.0,4.0,4.0,1.6470588235294117,1.3564013840830451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.9411764705882353,1.0,5.64,13.96,8.32,7.696470588235294,1.7311418685121107,6.615,0.0,7.853,7.853,3.8295294117647063,3.153730103806228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,129.76470588235293,83.12802768166091,12.0,s,H,-0.233471,s,H,-0.233471,0.0,-282000.0,0.8900000000000001,1.79,0.8999999999999999,1.1627272727272726,0.34288996691615903
